LFO,YEAR,PAYQTR1,EMP,ESTAB,PAYANN,EMPSZES,state
932,2019,1294241,102452,3376,5254681,001,33
932,2019,33148,3057,1518,141175,210,33
932,2019,56255,4996,742,234195,220,33
932,2019,68823,6594,479,286371,230,33
932,2019,124810,11038,369,504820,241,33
932,2019,83641,8421,120,340306,242,33
932,2019,140737,12550,84,573846,251,33
932,2019,168196,13498,39,680743,252,33
932,2019,83261,7201,11,336285,254,33
932,2019,535370,35097,14,2156940,260,33
933,2019,33060,2189,79,138039,001,33
933,2019,613,83,22,2725,210,33
933,2019,1613,272,36,7082,220,33
933,2019,846,162,11,3432,230,33
933,2019,1155,272,8,5450,241,33
942,2019,27972,1741,76,95800,001,33
942,2019,588,60,44,2782,210,33
942,2019,607,59,9,2281,220,33
942,2019,4195,494,4,18975,251,33
942,2019,1061,128,10,4217,230,33
942,2019,439,92,3,1783,241,33
942,2019,2491,303,4,9700,242,33
001,2019,63479736,3805357,233888,239861512,001,34
001,2019,2433117,223545,131369,11910077,210,34
001,2019,2972554,275487,41566,12539684,220,34
001,2019,4439069,378295,28040,18264747,230,34
001,2019,7767961,614555,20264,31194971,241,34
001,2019,6951002,470945,6874,27104722,242,34
001,2019,10124023,627601,4080,39029611,251,34
001,2019,7520948,359968,1060,27084496,252,34
001,2019,5927459,246718,364,20887450,254,34
001,2019,15343603,608243,271,51845754,260,34
9101,2019,36874661,1586455,61990,128004299,001,34
9101,2019,813976,51995,29018,3484761,210,34
9101,2019,1051393,78985,11796,4174653,220,34
9101,2019,1652298,115565,8608,6468618,230,34
9101,2019,3363467,209691,6875,12689562,241,34
9101,2019,3627335,184899,2669,13225679,242,34
9101,2019,6279601,322408,2074,23155313,251,34
9101,2019,5303470,211356,614,18349512,252,34
9101,2019,4356503,137420,203,14654843,254,34
9101,2019,10426618,274136,133,31801358,260,34
9111,2019,11669984,954239,81106,51108809,001,34
9111,2019,868268,79058,46128,4604391,210,34
9111,2019,1082537,98709,14923,4832102,220,34
9111,2019,1549406,134055,9907,6886478,230,34
9111,2019,2519773,209202,6930,10954845,241,34
9111,2019,1743568,138590,2058,7438003,242,34
9111,2019,1760116,135288,884,7506723,251,34
9111,2019,877559,66368,198,3690926,252,34
9111,2019,353197,33422,50,1421186,254,34
9111,2019,915560,59547,28,3774155,260,34
920,2019,1805484,170793,32929,7230764,001,34
920,2019,265201,40012,25624,1307517,210,34
920,2019,202813,28838,4478,857158,220,34
920,2019,166927,22706,1744,709307,230,34
920,2019,231618,21820,740,849824,241,34
920,2019,145918,13031,192,597541,242,34
920,2019,252914,16774,111,913825,251,34
920,2019,245026,8674,25,814228,252,34
920,2019,154482,5751,9,588044,254,34
920,2019,140585,13187,6,593320,260,34
930,2019,7149470,619714,43618,29113726,001,34
930,2019,374246,40879,24306,1983494,210,34
930,2019,458503,49842,7513,1951356,220,34
930,2019,795848,75686,5535,3093895,230,34
930,2019,1231874,127116,4179,5004952,241,34
930,2019,979924,88537,1289,4004819,242,34
930,2019,1167156,89830,604,4780636,251,34
930,2019,585264,37219,114,2241575,252,34
930,2019,568983,31741,47,2205486,254,34
930,2019,987672,78864,31,3847513,260,34
932,2019,5477209,443653,13903,22109165,001,34
932,2019,108720,11349,6150,514602,210,34
932,2019,172383,18769,2805,706291,220,34
932,2019,262216,29360,2182,1059680,230,34
932,2019,406504,45603,1504,1647025,241,34
932,2019,446489,44803,651,1807051,242,34
932,2019,641029,61968,397,2575342,251,34
932,2019,404248,33031,100,1617047,252,34
932,2019,441777,35023,50,1803978,254,34
932,2019,2593843,163747,64,10378149,260,34
933,2019,298138,19024,15,1509563,001,34
933,2019,21220,1059,3,87370,252,34
933,2019,250008,16239,7,1312792,260,34
942,2019,204790,11479,327,785186,001,34
942,2019,2706,252,143,15312,210,34
942,2019,4925,344,51,18124,220,34
942,2019,11999,891,62,45129,230,34
942,2019,14725,1123,36,48763,241,34
942,2019,7768,1085,15,31629,242,34
942,2019,18201,1220,9,76088,251,34
942,2019,84161,2261,6,283838,252,34
942,2019,30988,1780,3,127836,254,34
001,2019,6955181,644537,43804,28177071,001,35
001,2019,364097,39173,22432,1760923,210,35
001,2019,499107,56577,8492,2067862,220,35
001,2019,754370,83403,6193,3097771,230,35
001,2019,1259772,135842,4506,5190806,241,35
001,2019,834868,85984,1265,3368364,242,35
001,2019,1042554,97510,664,4249793,251,35
001,2019,752426,61741,187,2821897,252,35
001,2019,406046,31516,47,1578986,254,35
001,2019,1041941,52791,18,4040669,260,35
9101,2019,3061373,255078,11089,11985338,001,35
9101,2019,107693,7698,3933,483291,210,35
9101,2019,180561,17599,2593,723166,220,35
9101,2019,290549,27875,2061,1157687,230,35
9101,2019,526322,46776,1534,2109742,241,35
9101,2019,378140,34601,502,1472361,242,35
9101,2019,552327,48841,327,2177912,251,35
9101,2019,456195,35540,108,1643986,252,35
9101,2019,229658,16794,25,870559,254,35
9101,2019,339928,19354,6,1346634,260,35
9111,2019,1598912,177221,17132,6959782,001,35
9111,2019,148503,15910,9530,750026,210,35
9111,2019,186398,21027,3156,806209,220,35
9111,2019,269656,30542,2281,1149850,230,35
9111,2019,399260,46236,1558,1716295,241,35
9111,2019,241140,27705,412,1020996,242,35
9111,2019,226458,22937,159,992951,251,35
9111,2019,102333,10000,31,427410,252,35
9111,2019,25164,2864,5,96045,254,35
920,2019,217950,30188,5652,927959,001,35
920,2019,36026,5103,173,144960,241,35
920,2019,40107,6915,4204,195296,210,35
920,2019,30390,5382,845,127830,220,35
920,2019,31022,4798,368,127304,230,35
920,2019,21992,2559,37,86921,242,35
920,2019,37962,3049,20,163291,251,35
920,2019,17919,1790,4,71353,252,35
930,2019,1002304,92033,5901,4019513,001,35
930,2019,39204,4854,2858,206005,210,35
930,2019,60414,7297,1098,243225,220,35
930,2019,96354,11791,865,389039,230,35
930,2019,175835,24000,782,725969,241,35
930,2019,114937,12994,195,462911,242,35
930,2019,106378,11247,80,425694,251,35
930,2019,75372,5766,17,265937,252,35
930,2019,38592,2070,3,155162,254,35
930,2019,295218,12014,3,1145571,260,35
932,2019,739660,68699,3889,3004640,001,35
932,2019,27494,3726,1864,121523,210,35
932,2019,40355,5153,782,163335,220,35
932,2019,64711,8087,594,266037,230,35
932,2019,117164,13108,440,474214,241,35
932,2019,73619,7630,112,305172,242,35
932,2019,88566,9468,67,364527,251,35
932,2019,69423,5804,18,274505,252,35
932,2019,47983,4730,7,200337,254,35
932,2019,210345,10993,5,834990,260,35
933,2019,257509,16163,28,968013,001,35
933,2019,3576,279,4,15020,242,35
933,2019,17225,1084,6,72008,251,35
933,2019,18780,2017,6,78841,252,35
933,2019,40555,3403,5,165284,254,35
933,2019,176331,9288,3,632788,260,35
942,2019,77473,5155,113,311826,001,35
942,2019,1096,70,43,4782,210,35
001,2019,170486524,8597216,547351,603077852,001,36
001,2019,5715003,538331,329304,29511092,210,36
001,2019,6720303,600144,90557,27858644,220,36
001,2019,9823734,813715,60278,39842250,230,36
001,2019,17324305,1254511,41519,67156761,241,36
001,2019,15548097,924488,13485,57861009,242,36
001,2019,24603212,1224241,8065,88347293,251,36
001,2019,18695100,835696,2452,64786121,252,36
001,2019,18875575,711212,1040,61415678,254,36
001,2019,53181195,1694878,651,166299004,260,36
9101,2019,94525000,3271961,171095,294497621,001,36
9101,2019,1987496,167973,98840,9067539,210,36
9101,2019,2387227,192910,29054,9158442,220,36
9101,2019,3752107,258834,19154,14079611,230,36
9101,2019,7396127,414853,13695,26069283,241,36
9101,2019,7132265,339464,4882,25097428,242,36
9101,2019,13381395,543985,3539,44892001,251,36
9101,2019,11058212,397734,1171,36299720,252,36
9101,2019,12982901,347563,510,39836820,254,36
9101,2019,34447270,608645,250,89996777,260,36
9111,2019,23900241,2085887,219896,105542394,001,36
9111,2019,2320817,222481,141647,13368216,210,36
9111,2019,2522815,236358,35780,11218420,220,36
9111,2019,3305202,302120,22420,14545766,230,36
9111,2019,4750247,419246,14059,20599143,241,36
9111,2019,3196720,250539,3720,13643728,242,36
9111,2019,3405204,244063,1654,14036416,251,36
9111,2019,1666126,133744,387,6895054,252,36
9111,2019,1102061,104944,153,4451886,254,36
9111,2019,1631049,172392,76,6783765,260,36
920,2019,3400870,304968,48724,13505704,001,36
920,2019,414320,57837,37407,2055670,210,36
920,2019,340774,41728,6477,1400742,220,36
920,2019,309385,36020,2750,1279647,230,36
920,2019,464805,38832,1302,1732244,241,36
920,2019,384273,30661,448,1438738,242,36
920,2019,673102,34734,240,2315644,251,36
920,2019,366906,22191,63,1528866,252,36
