YEAR,state,county,MOVEDNET,FROMABROAD,POP1YR,TODIFFSTATE,FROMDIFFSTATE,POP1YRAGO
2010,13,59,1446.0,572,113726,4024,3800,111848
2010,13,61,-143.0,3,2910,83,59,3050
2010,13,63,3428.0,1384,256231,5623,8923,253347
2010,13,65,-183.0,57,6772,28,89,6968
2010,13,67,11672.0,4111,667373,17958,26397,654451
2010,13,69,76.0,107,41208,348,412,40983
2010,13,71,1526.0,263,43996,362,1114,42231
2010,13,73,774.0,887,116235,4449,3658,114743
2010,13,75,181.0,11,16618,449,230,16488
2010,13,77,1371.0,557,119928,2771,3585,118161
2010,13,79,-256.0,0,12642,317,10,12898
2010,13,81,413.0,0,22793,116,524,22634
2010,13,83,217.0,107,16394,955,809,16117
2010,13,85,649.0,41,21581,130,659,20959
2010,13,87,-231.0,20,27669,493,426,27887
2010,13,89,6488.0,6611,675213,19342,23452,665263
2010,13,91,-221.0,69,21132,55,57,21282
2010,13,93,79.0,0,14113,21,34,14026
2010,13,95,2465.0,459,92839,2393,1947,89947
2010,13,97,5536.0,341,126072,2954,5669,120892
2010,13,99,-425.0,7,11188,136,29,11606
2010,13,101,237.0,0,3823,28,16,3586
2010,13,103,1129.0,75,49855,1262,1217,48710
2010,13,105,213.0,15,20160,157,264,19878
2010,13,107,32.0,0,21956,203,407,21922
2010,13,109,285.0,11,10795,57,45,10499
2010,13,111,-292.0,44,23066,373,228,23291
2010,13,113,-837.0,382,104627,3425,3294,105677
2010,13,115,234.0,549,94653,2120,1822,93804
2010,13,117,2771.0,624,161962,3560,3997,159158
2010,13,119,-839.0,54,21808,755,211,22501
2010,13,121,-15594.0,7975,874772,41222,40516,884984
2010,13,123,526.0,144,27807,403,513,27115
2010,13,125,54.0,10,2958,9,75,2894
2010,13,127,878.0,499,76525,2046,2620,75186
2010,13,129,-969.0,62,53326,734,868,54199
2010,13,131,-60.0,91,24433,436,432,24398
2010,13,133,-175.0,0,15766,351,170,15997
2010,13,135,7962.0,5835,765737,18724,26443,755135
2010,13,137,1142.0,33,41758,447,489,40470
2010,13,139,791.0,524,172066,2264,2769,171062
2010,13,141,225.0,0,9529,4,81,9370
2010,13,143,192.0,0,28339,548,403,28147
2010,13,145,927.0,69,30552,344,1017,29640
2010,13,147,650.0,0,24736,217,218,24100
2010,13,149,300.0,78,11563,199,183,11227
2010,13,151,7215.0,496,191291,4276,7081,185101
2010,13,153,2735.0,712,132704,4192,5298,129381
2010,13,155,54.0,86,9535,163,235,9398
2010,13,157,315.0,58,57468,785,769,57149
2010,13,159,224.0,44,13415,87,108,13147
2010,13,161,453.0,31,14354,171,245,13867
2010,13,163,348.0,21,16785,58,193,16459
2010,13,165,-683.0,0,8153,12,0,8836
2010,13,167,297.0,14,9818,114,53,9507
2010,13,169,78.0,20,27981,415,425,27806
2010,13,171,-83.0,174,17764,143,223,17680
2010,13,173,-22.0,76,9187,256,128,9133
2010,13,175,-260.0,62,47318,387,498,47553
2010,13,177,100.0,58,27842,402,582,27675
2010,13,179,2060.0,2705,62613,4862,7599,58196
2010,13,181,-88.0,0,8034,175,51,8119
2010,13,183,1334.0,228,12875,405,1000,11363
2010,13,185,1311.0,505,103302,4430,4539,101892
2010,13,187,1410.0,68,28621,337,770,27202
2010,13,189,-125.0,86,21409,156,456,21484
2010,13,191,377.0,0,13399,193,94,13050
2010,13,193,95.0,203,14400,74,68,14066
2010,13,195,-570.0,26,27536,312,91,28079
2010,13,197,19.0,71,8347,12,106,8249
2010,13,199,164.0,38,22157,169,140,21985
2010,13,201,-378.0,0,6050,132,46,6428
2010,13,205,-471.0,8,23389,173,143,23833
2010,13,207,33.0,15,25561,347,471,25564
2010,13,209,-132.0,22,9049,20,54,9154
2010,13,211,-102.0,0,17575,151,164,17691
2010,13,213,-883.0,76,39391,735,458,40220
2010,13,215,11360.0,1817,184925,9018,17254,173616
2010,13,217,3083.0,385,95449,995,2361,92446
2010,13,219,521.0,141,31203,367,791,30564
2010,13,221,-411.0,3,14465,23,18,14877
2010,13,223,1522.0,253,132798,2806,3186,131519
2010,13,225,671.0,17,26689,268,542,26084
2010,13,227,122.0,50,28867,543,350,28689
2010,13,229,338.0,57,18067,309,429,17578
2010,13,231,656.0,53,17342,128,156,16669
2010,13,233,-1172.0,70,40400,974,223,41406
2010,13,235,59.0,11,11544,87,77,11471
2010,13,237,148.0,0,20713,252,249,20627
2010,13,239,-78.0,0,2451,148,144,2529
2010,13,241,-430.0,10,16107,601,207,16534
2010,13,243,-34.0,0,7604,114,85,7588
2010,13,245,-107.0,2153,194681,10558,11019,193505
2010,13,247,662.0,284,82010,2190,2779,82025
2010,13,249,102.0,0,4689,29,28,4587
2010,13,251,155.0,8,14621,63,124,14450
2010,13,253,-225.0,43,8691,385,61,8873
2010,13,255,-2522.0,68,62424,1164,460,64906
2010,13,257,632.0,30,25558,272,643,25000
2010,13,259,-349.0,8,5803,31,55,6154
2010,13,261,-703.0,146,32472,370,354,33034
2010,13,263,-161.0,0,6868,77,68,7029
2010,13,265,155.0,0,2037,0,0,1882
2010,13,267,908.0,124,23899,307,638,22801
2010,13,269,56.0,0,8842,236,77,8797
2010,13,271,-287.0,53,15719,60,210,15970
2010,13,273,-207.0,0,9520,0,150,9753
2010,13,275,-241.0,223,43870,1224,919,44079
2010,13,277,127.0,313,39178,712,787,38861
2010,13,279,-1078.0,75,26611,500,238,27598
2010,13,281,524.0,0,10372,169,222,9848
2010,13,283,0.0,10,6807,98,93,6797
2010,13,285,258.0,171,64584,1583,1424,64179
2010,13,287,-268.0,0,8898,421,357,9199
2010,13,289,-184.0,19,9275,15,220,9440
2010,13,291,718.0,0,20935,458,975,20280
2010,13,293,471.0,49,26992,253,430,26492
2010,13,295,629.0,54,66876,2130,2262,66195
2010,13,297,2352.0,16,80132,971,1075,78149
2010,13,299,-132.0,71,35562,485,1416,35673
2010,13,301,-181.0,0,5846,10,85,6027
2010,13,303,-183.0,24,20883,269,74,21069
2010,13,305,165.0,83,29322,1076,741,29103
2010,13,307,-137.0,0,2710,33,130,2829
2010,13,309,37.0,19,7015,70,41,6959
2010,13,311,160.0,0,26216,311,362,26067
2010,13,313,550.0,192,98182,1435,1668,97395
2010,13,315,184.0,67,8969,35,91,8718
2010,13,317,124.0,0,10532,102,121,10408
2010,13,319,-526.0,53,9550,88,36,10023
2010,13,321,593.0,0,21450,316,760,20857
2010,15,1,-1067.0,1067,178458,6083,5644,178654
2010,15,3,-6547.0,15319,925004,48925,40283,917718
2010,15,5,-18.0,0,74,22,0,92
2010,15,7,275.0,370,64620,1739,1806,64047
2010,15,9,550.0,1033,148596,5838,5410,147916
2010,16,1,4442.0,2445,375320,14274,17030,368910
2010,16,3,43.0,4,3903,0,72,3856
