YEAR,state,county,PAYQTR1,EMP,ESTAB,PAYANN
2009,13,23,13502,2263,174,57357
2009,13,25,7381,1297,180,30729
2009,13,27,12250,1949,206,49879
2009,13,29,32799,5710,595,140463
2009,13,31,106579,17099,1404,433430
2009,13,33,54297,4657,309,193674
2009,13,35,24957,4041,356,106456
2009,13,37,4053,642,81,18462
2009,13,39,58904,8658,844,243470
2009,13,43,13295,2159,223,55737
2009,13,45,260824,30322,2025,1037320
2009,13,47,90602,13137,928,365490
2009,13,49,11022,1716,148,44826
2009,13,51,980982,114769,7058,4072173
2009,13,53,5047,644,65,21150
2009,13,55,30005,4634,309,124033
2009,13,57,270428,39429,4608,1125757
2009,13,59,330894,44455,2938,1386053
2009,13,61,0,0,43,0
2009,13,63,588702,71503,3991,2343024
2009,13,65,11325,1686,115,46952
2009,13,67,3676190,303501,19247,14293199
2009,13,69,84449,12779,851,344496
2009,13,71,70648,11676,870,298089
2009,13,73,198076,26745,2132,810398
2009,13,75,19339,3245,332,79287
2009,13,77,213482,28281,2082,856450
2009,13,79,3092,507,107,13688
2009,13,81,40912,6659,529,167039
2009,13,83,15814,2154,211,66235
2009,13,85,31707,5645,614,132021
2009,13,87,51591,7837,618,210096
2009,13,89,2865224,259528,16116,11078356
2009,13,91,23625,3987,347,96019
2009,13,93,14906,2320,173,64047
2009,13,95,300576,40012,2487,1250605
2009,13,97,242691,33992,2504,998927
2009,13,99,27307,2929,236,112118
2009,13,101,602,0,17,2536
2009,13,103,60617,7112,706,240437
2009,13,105,33231,5225,477,141553
2009,13,107,33118,5360,415,135339
2009,13,109,24067,3771,229,101328
2009,13,111,26903,4444,557,113020
2009,13,113,318772,37355,3155,1293202
2009,13,115,267679,34138,1964,1089207
2009,13,117,565230,57948,5041,2243685
2009,13,119,35530,5751,453,153306
2009,13,121,10797347,714815,33026,40606341
2009,13,123,41829,6587,574,169793
2009,13,125,982,205,27,4219
2009,13,127,229708,31508,2551,947313
2009,13,129,113799,16016,1023,476373
2009,13,131,24934,4017,427,100900
2009,13,133,31628,4696,393,133200
2009,13,135,3154737,293265,21349,12314170
2009,13,137,79277,11341,829,317823
